order_id,customer_id,order_date,status,payment_method,shipping_address,shipping_date,delivery_date,total_amount,promotion_id,shipping_city,shipping_zip
1,936,2024-04-26,Delivered,Debit Card,9469 Second Ave,2024-04-28,2024-04-29,655.16,,Charlotte,26759
2,3,2024-02-13,Delivered,Apple Pay,2715 First St,2024-02-16,2024-02-18,1534.39,,Fort Worth,46421
3,850,2024-01-10,Pending,Debit Card,5039 Second Ave,,,583.3,,New York,66602
4,608,2023-05-30,Delivered,Credit Card,5287 Park Rd,2023-05-31,2023-06-02,19.61,,Austin,99071
5,414,2022-04-11,Delivered,PayPal,4167 Park Rd,2022-04-12,2022-04-15,527.33,,San Antonio,54939
6,747,2023-05-08,Pending,Apple Pay,6995 Second Ave,,,0,,Philadelphia,52830
7,607,2022-12-26,Delivered,Debit Card,2503 Oak Ave,2022-12-29,2023-01-01,0,,Fort Worth,79632
8,914,2022-11-26,Delivered,Apple Pay,7812 First St,2022-11-29,2022-12-03,3970.56,,Chicago,76229
9,466,2023-10-11,Delivered,Credit Card,8883 First St,2023-10-12,2023-10-16,275.04,,Columbus,57925
10,641,2023-01-17,Cancelled,Credit Card,1490 First St,,,0,,San Diego,28342
11,858,2022-10-02,Delivered,Debit Card,5009 First St,2022-10-05,2022-10-08,5085.91,,San Jose,31270
12,388,2023-10-29,Delivered,Debit Card,4290 Second Ave,2023-10-31,2023-11-07,6781,,San Antonio,16368
13,43,2022-11-08,Delivered,Debit Card,5243 Main St,2022-11-10,2022-11-16,60.38,,San Jose,76469
14,498,2023-01-30,Delivered,Apple Pay,4222 Main St,2023-02-02,2023-02-07,3074.52,,Austin,31877
15,40,2024-03-28,Processing,Debit Card,8446 First St,,,1165.08,,Philadelphia,80282
16,592,2022-12-29,Shipped,PayPal,8658 Main St,2023-01-01,,6437.23,,San Antonio,50760
17,94,2024-02-05,Delivered,Apple Pay,7849 First St,2024-02-07,2024-02-12,391.23,,Philadelphia,96991
18,991,2020-07-27,Pending,PayPal,2267 First St,,,657.82,,Los Angeles,45895
19,158,2023-08-30,Shipped,Debit Card,8324 Park Rd,2023-09-01,,1435.75,,San Antonio,60615
20,562,2023-03-03,Delivered,PayPal,3807 Main St,2023-03-05,2023-03-12,157.44,,Houston,11967
21,981,2023-02-21,Delivered,Debit Card,5898 Main St,2023-02-23,2023-03-01,1346.38,,Phoenix,55838
22,204,2024-04-29,Processing,PayPal,8834 Park Rd,,,1931.2,,San Diego,56437
23,722,2022-10-05,Delivered,Debit Card,1013 First St,2022-10-08,2022-10-10,1866.96,,Dallas,74840
24,551,2024-04-28,Delivered,Google Pay,6337 Second Ave,2024-04-29,2024-05-02,95.05,,Houston,23055
25,603,2021-06-05,Delivered,PayPal,4092 Second Ave,2021-06-06,2021-06-11,5298.6,,Houston,73225
26,898,2020-09-23,Delivered,PayPal,9900 Main St,2020-09-25,2020-09-30,1072.76,,New York,59465
27,500,2021-12-20,Delivered,PayPal,3857 Oak Ave,2021-12-21,2021-12-28,473.98,,Phoenix,68085
28,776,2021-05-29,Delivered,Debit Card,838 Second Ave,2021-05-30,2021-06-03,418.43,,Charlotte,76932
29,838,2022-05-03,Delivered,Google Pay,7680 Park Rd,2022-05-05,2022-05-08,480.12,,Los Angeles,68271
30,330,2024-02-14,Delivered,Apple Pay,2535 Main St,2024-02-16,2024-02-19,154.02,,San Diego,91156
31,736,2023-04-30,Delivered,Debit Card,8052 Second Ave,2023-05-03,2023-05-05,7237.1,,San Diego,65314
32,349,2022-01-03,Shipped,Debit Card,4712 Park Rd,2022-01-04,,2972.82,,Phoenix,22571
33,205,2024-04-27,Delivered,Apple Pay,4976 Park Rd,2024-04-29,2024-05-01,149.88,,Houston,37168
34,544,2023-03-28,Delivered,PayPal,6876 First St,2023-03-29,2023-04-01,221.4,,Austin,55653
35,655,2021-09-24,Processing,Credit Card,7524 Main St,,,128.44,,Philadelphia,16875
36,967,2023-08-19,Delivered,PayPal,1180 Park Rd,2023-08-21,2023-08-22,10094.33,,San Antonio,21662
37,848,2024-03-21,Delivered,Apple Pay,991 Park Rd,2024-03-22,2024-03-26,263.68,,Columbus,41030
38,179,2024-05-16,Shipped,PayPal,6022 Second Ave,2024-05-18,,557.46,,Fort Worth,25907
39,183,2021-07-12,Delivered,Debit Card,2607 Park Rd,2021-07-14,2021-07-17,213.66,,Dallas,31229
40,742,2024-04-28,Delivered,Google Pay,7043 First St,2024-04-30,2024-05-02,52.76,,Dallas,42289
41,396,2022-03-16,Delivered,Credit Card,2367 Oak Ave,2022-03-17,2022-03-18,710.39,,New York,56861
42,96,2024-05-01,Delivered,Debit Card,7792 Park Rd,2024-05-03,2024-05-06,296.33,,Los Angeles,91691
43,70,2022-08-08,Delivered,Credit Card,7534 Park Rd,2022-08-10,2022-08-15,11.99,,Jacksonville,42951
44,49,2023-10-22,Delivered,Debit Card,8586 First St,2023-10-24,2023-10-28,564.39,,Fort Worth,83060
45,982,2023-10-20,Delivered,PayPal,1488 Second Ave,2023-10-21,2023-10-27,141.86,,Houston,30147
46,102,2023-06-21,Delivered,Google Pay,7051 Park Rd,2023-06-24,2023-06-25,703.57,,Austin,49599
47,55,2021-07-20,Delivered,Apple Pay,9047 Second Ave,2021-07-23,2021-07-25,0,,Dallas,73993
48,902,2022-05-13,Delivered,Credit Card,5281 Main St,2022-05-14,2022-05-16,0,,San Antonio,37887
49,165,2023-05-01,Shipped,Debit Card,1798 Second Ave,2023-05-04,,992.08,,Houston,27486
50,161,2022-08-12,Delivered,Credit Card,882 Oak Ave,2022-08-14,2022-08-17,368.79,,Los Angeles,93748
51,726,2024-01-17,Delivered,Apple Pay,7021 Second Ave,2024-01-18,2024-01-22,87.14,,Austin,65203
52,115,2024-03-17,Processing,Apple Pay,2163 Second Ave,,,37.38,,Houston,18992
53,885,2024-04-28,Delivered,Google Pay,2672 Main St,2024-05-01,2024-05-03,541.4,,San Antonio,80313
54,949,2024-05-29,Processing,Debit Card,2244 Park Rd,,,3000.78,,Los Angeles,17094
55,991,2022-09-24,Shipped,Debit Card,2267 First St,2022-09-26,,10520.63,,Los Angeles,45895
56,396,2022-07-08,Processing,Google Pay,2367 Oak Ave,,,1707.76,,New York,56861
57,763,2021-01-19,Processing,Debit Card,7804 Park Rd,,,749.25,,New York,71228
58,47,2024-01-22,Pending,Debit Card,500 Main St,,,1866.71,,Chicago,72277
59,747,2024-02-19,Shipped,Debit Card,6995 Second Ave,2024-02-20,,3026.84,,Philadelphia,52830
60,32,2024-04-16,Delivered,Apple Pay,1797 Oak Ave,2024-04-18,2024-04-25,169.1,,Charlotte,25129
61,815,2020-04-07,Delivered,Credit Card,4916 First St,2020-04-09,2020-04-13,761.72,,Phoenix,28726
62,511,2023-10-06,Delivered,Google Pay,8265 Park Rd,2023-10-07,2023-10-09,953.13,,Fort Worth,14159
63,738,2022-05-20,Shipped,Apple Pay,4982 Main St,2022-05-23,,0,,San Jose,57636
64,903,2022-04-29,Delivered,PayPal,1203 Oak Ave,2022-04-30,2022-05-05,2377.31,,New York,49522
65,48,2023-09-02,Delivered,Debit Card,6391 First St,2023-09-03,2023-09-07,7305.55,,Jacksonville,41979
66,692,2022-04-29,Delivered,Google Pay,140 Oak Ave,2022-05-02,2022-05-08,0,,Fort Worth,49343
67,877,2023-01-08,Shipped,Google Pay,8499 Oak Ave,2023-01-10,,496.56,,San Diego,39829
68,539,2022-05-30,Shipped,Google Pay,5093 Second Ave,2022-05-31,,3139.19,,New York,51853
69,535,2022-09-18,Delivered,Apple Pay,718 First St,2022-09-20,2022-09-23,319.2,,Los Angeles,30461
70,269,2023-04-19,Delivered,Apple Pay,8466 Second Ave,2023-04-21,2023-04-22,16.56,,Houston,86089
71,517,2024-04-07,Cancelled,Google Pay,1566 Oak Ave,,,617.78,,Fort Worth,75525
72,956,2023-05-31,Shipped,Credit Card,8906 Oak Ave,2023-06-01,,3261.64,,Los Angeles,12588
73,411,2023-05-30,Delivered,Debit Card,5636 Main St,2023-06-02,2023-06-09,4171.86,,Jacksonville,16094
74,40,2023-12-14,Delivered,PayPal,8446 First St,2023-12-17,2023-12-23,781.92,,Philadelphia,80282
75,326,2021-11-18,Delivered,Apple Pay,1769 Oak Ave,2021-11-20,2021-11-23,180.99,,San Diego,11567
76,758,2022-10-17,Delivered,PayPal,5553 Oak Ave,2022-10-18,2022-10-23,0,,New York,56439
77,729,2022-06-26,Delivered,Debit Card,9496 First St,2022-06-28,2022-06-29,0,,Phoenix,91863
78,970,2022-01-11,Delivered,Apple Pay,5310 First St,2022-01-12,2022-01-16,683.8,,Chicago,55242
79,54,2024-03-28,Delivered,Debit Card,9669 Main St,2024-03-30,2024-04-04,2482.62,,San Antonio,59857
80,697,2024-03-08,Delivered,Debit Card,5385 Park Rd,2024-03-11,2024-03-14,86.92,,Dallas,49462
81,730,2022-08-12,Delivered,Credit Card,8800 First St,2022-08-13,2022-08-20,45.57,,San Jose,37490
82,336,2024-01-11,Processing,Credit Card,9334 Oak Ave,,,770.28,,San Jose,34672
83,353,2023-01-17,Delivered,Apple Pay,4415 Oak Ave,2023-01-19,2023-01-23,1918.42,,San Diego,83956
84,225,2024-03-10,Delivered,Credit Card,6987 Park Rd,2024-03-11,2024-03-12,548.82,,Fort Worth,68790
85,660,2023-08-09,Shipped,Apple Pay,1920 First St,2023-08-10,,0,,Chicago,64817
86,555,2024-04-27,Delivered,Apple Pay,6362 Second Ave,2024-04-28,2024-05-01,4651.86,,Los Angeles,90274
87,375,2024-02-07,Pending,Credit Card,4350 First St,,,1053.4,,Phoenix,60891
88,184,2022-03-19,Delivered,Debit Card,3316 Second Ave,2022-03-21,2022-03-25,922.96,,Phoenix,26406
89,525,2021-03-25,Delivered,Credit Card,8052 Oak Ave,2021-03-28,2021-04-03,3788.46,,Los Angeles,14170
90,301,2024-01-12,Shipped,Credit Card,9166 Second Ave,2024-01-13,,572.71,,Houston,89638
91,454,2024-01-14,Delivered,Google Pay,9963 Main St,2024-01-17,2024-01-23,149.6,,Philadelphia,40191
92,712,2021-08-09,Shipped,Google Pay,6120 Oak Ave,2021-08-12,,2071.52,,Austin,98363
93,764,2023-07-10,Processing,Debit Card,8177 Main St,,,1638.25,,San Diego,26207
94,905,2022-06-26,Processing,Apple Pay,7999 Main St,,,76.93,,Columbus,12313
95,613,2023-12-03,Pending,Apple Pay,6913 First St,,,137.52,,Chicago,89223
96,474,2024-05-03,Delivered,Google Pay,6644 Park Rd,2024-05-04,2024-05-05,1258.15,,Phoenix,61792
97,53,2022-06-14,Delivered,PayPal,3605 Main St,2022-06-16,2022-06-22,0,,Jacksonville,63424
98,983,2024-02-12,Delivered,PayPal,7811 First St,2024-02-14,2024-02-15,407.8,,Houston,49227
99,2,2022-03-04,Shipped,Credit Card,534 Second Ave,2022-03-06,,607.6,,San Jose,95181
100,213,2022-11-23,Delivered,Apple Pay,9001 Second Ave,2022-11-25,2022-11-30,8970.85,,San Diego,27589
101,668,2022-06-18,Delivered,PayPal,8987 Second Ave,2022-06-21,2022-06-22,1902.53,,Jacksonville,99740
102,662,2022-02-14,Processing,PayPal,7681 Park Rd,,,7609.36,,Columbus,66113
103,537,2023-02-04,Delivered,PayPal,8099 Second Ave,2023-02-07,2023-02-09,412.65,,Chicago,88018
104,999,2024-03-11,Delivered,Google Pay,2194 Oak Ave,2024-03-14,2024-03-19,0,,New York,82154
105,191,2023-06-12,Delivered,Apple Pay,2716 Park Rd,2023-06-15,2023-06-18,0,,Columbus,50988
106,118,2021-08-12,Delivered,PayPal,6997 Second Ave,2021-08-14,2021-08-18,141.48,,Chicago,18330
107,917,2024-05-17,Shipped,Apple Pay,3206 Main St,2024-05-20,,562.9,,Chicago,75627
108,164,2024-04-28,Delivered,Google Pay,7802 Main St,2024-04-30,2024-05-01,204.38,,San Antonio,60709
109,417,2023-01-30,Delivered,Apple Pay,8847 Park Rd,2023-02-01,2023-02-04,125.82,,Austin,11673
110,219,2024-04-02,Delivered,Credit Card,6221 First St,2024-04-05,2024-04-07,495.07,,San Diego,81989
111,170,2022-12-09,Delivered,Google Pay,7155 Second Ave,2022-12-12,2022-12-14,182.25,,Los Angeles,81496
112,97,2023-07-07,Delivered,Google Pay,5288 First St,2023-07-10,2023-07-12,102.21,,San Antonio,14705
113,327,2023-06-26,Cancelled,Debit Card,1476 Second Ave,,,88,,Austin,43924
114,18,2024-03-17,Delivered,Apple Pay,3781 Main St,2024-03-18,2024-03-25,88.86,,Houston,12757
115,945,2023-02-17,Cancelled,Google Pay,5345 Park Rd,,,193.5,,San Jose,26182
116,132,2022-01-19,Delivered,PayPal,8494 Main St,2022-01-22,2022-01-23,289.84,,Fort Worth,66349
117,405,2023-08-31,Delivered,Debit Card,8248 Main St,2023-09-01,2023-09-07,442.12,,Los Angeles,62879
118,221,2022-09-19,Delivered,PayPal,9483 Second Ave,2022-09-21,2022-09-27,228.39,,Houston,31566
