order_id,customer_id,order_date,status,payment_method,shipping_address,shipping_city,shipping_state,shipping_zip,shipping_date,delivery_date,total_amount
1,936,2024-04-26,Delivered,Debit Card,9469 Second Ave,Charlotte,NC,26759,2024-04-28,2024-04-29,655.16
2,3,2024-02-13,Delivered,Apple Pay,2715 First St,Fort Worth,TX,46421,2024-02-16,2024-02-18,1534.39
3,850,2024-01-10,Pending,Debit Card,5039 Second Ave,New York,NY,66602,,,583.3
4,608,2023-05-30,Delivered,Credit Card,5287 Park Rd,Austin,TX,99071,2023-05-31,2023-06-02,19.61
5,414,2022-04-11,Delivered,PayPal,4167 Park Rd,San Antonio,TX,54939,2022-04-12,2022-04-15,527.33
6,747,2023-05-08,Pending,Apple Pay,6995 Second Ave,Philadelphia,PA,52830,,,0.0
7,607,2022-12-26,Delivered,Debit Card,2503 Oak Ave,Fort Worth,TX,79632,2022-12-29,2023-01-01,0.0
8,914,2022-11-26,Delivered,Apple Pay,7812 First St,Chicago,IL,76229,2022-11-29,2022-12-03,3970.56
9,466,2023-10-11,Delivered,Credit Card,8883 First St,Columbus,OH,57925,2023-10-12,2023-10-16,275.04
10,641,2023-01-17,Cancelled,Credit Card,1490 First St,San Diego,CA,28342,,,0.0
11,858,2022-10-02,Delivered,Debit Card,5009 First St,San Jose,CA,31270,2022-10-05,2022-10-08,5085.91
12,388,2023-10-29,Delivered,Debit Card,4290 Second Ave,San Antonio,TX,16368,2023-10-31,2023-11-07,6781.000000000001
13,43,2022-11-08,Delivered,Debit Card,5243 Main St,San Jose,CA,76469,2022-11-10,2022-11-16,60.38
14,498,2023-01-30,Delivered,Apple Pay,4222 Main St,Austin,TX,31877,2023-02-02,2023-02-07,3074.5200000000004
15,40,2024-03-28,Processing,Debit Card,8446 First St,Philadelphia,PA,80282,,,1165.08
16,592,2022-12-29,Shipped,PayPal,8658 Main St,San Antonio,TX,50760,2023-01-01,,6437.2300000000005
17,94,2024-02-05,Delivered,Apple Pay,7849 First St,Philadelphia,PA,96991,2024-02-07,2024-02-12,391.23
18,991,2020-07-27,Pending,PayPal,2267 First St,Los Angeles,CA,45895,,,657.82
19,158,2023-08-30,Shipped,Debit Card,8324 Park Rd,San Antonio,TX,60615,2023-09-01,,1435.75
20,562,2023-03-03,Delivered,PayPal,3807 Main St,Houston,TX,11967,2023-03-05,2023-03-12,157.44
21,981,2023-02-21,Delivered,Debit Card,5898 Main St,Phoenix,AZ,55838,2023-02-23,2023-03-01,1346.38
22,204,2024-04-29,Processing,PayPal,8834 Park Rd,San Diego,CA,56437,,,1931.2
23,722,2022-10-05,Delivered,Debit Card,1013 First St,Dallas,TX,74840,2022-10-08,2022-10-10,1866.96
24,551,2024-04-28,Delivered,Google Pay,6337 Second Ave,Houston,TX,23055,2024-04-29,2024-05-02,95.05
25,603,2021-06-05,Delivered,PayPal,4092 Second Ave,Houston,TX,73225,2021-06-06,2021-06-11,5298.599999999999
26,898,2020-09-23,Delivered,PayPal,9900 Main St,New York,NY,59465,2020-09-25,2020-09-30,1072.76
